"Country or Area","Commodity - Transaction","Year","Unit","Quantity","Quantity Footnotes"
"Afghanistan","Electricity - total solar production","2020","Kilowatt-hours, million","31.93",""
"Albania","Electricity - total solar production","2020","Kilowatt-hours, million","32.26",""
"Algeria","Electricity - total solar production","2020","Kilowatt-hours, million","665.22",""
"American Samoa","Electricity - total solar production","2020","Kilowatt-hours, million","5.21","1"
"Andorra","Electricity - total solar production","2020","Kilowatt-hours, million","2","1"
"Angola","Electricity - total solar production","2020","Kilowatt-hours, million","18",""
"Anguilla","Electricity - total solar production","2020","Kilowatt-hours, million","2.66","1"
"Antigua and Barbuda","Electricity - total solar production","2020","Kilowatt-hours, million","13.073","1"
"Argentina","Electricity - total solar production","2020","Kilowatt-hours, million","1344.589",""
"Armenia","Electricity - total solar production","2020","Kilowatt-hours, million","136.577",""
"Aruba","Electricity - total solar production","2020","Kilowatt-hours, million","11","1"
"Australia","Electricity - total solar production","2020","Kilowatt-hours, million","21033.194",""
"Australia","Electricity - total solar production","2000","Kilowatt-hours, million","38",""
"Austria","Electricity - total solar production","2020","Kilowatt-hours, million","2042.934",""
"Austria","Electricity - total solar production","2000","Kilowatt-hours, million","3",""
"Azerbaijan","Electricity - total solar production","2020","Kilowatt-hours, million","47.0015",""
"Bahamas","Electricity - total solar production","2020","Kilowatt-hours, million","2.82","1"
"Bahrain","Electricity - total solar production","2020","Kilowatt-hours, million","10","1"
"Bangladesh","Electricity - total solar production","2020","Kilowatt-hours, million","400.973",""
"Barbados","Electricity - total solar production","2020","Kilowatt-hours, million","68.66",""
"Belarus","Electricity - total solar production","2020","Kilowatt-hours, million","176",""
"Belgium","Electricity - total solar production","2020","Kilowatt-hours, million","5105.4",""
"Belize","Electricity - total solar production","2020","Kilowatt-hours, million","0.6",""
"Benin","Electricity - total solar production","2020","Kilowatt-hours, million","7.436",""
"Bermuda","Electricity - total solar production","2020","Kilowatt-hours, million","2","1"
"Bhutan","Electricity - total solar production","2020","Kilowatt-hours, million","0.385","1"
"Bolivia (Plur. State of)","Electricity - total solar production","2020","Kilowatt-hours, million","332.4",""
"Bonaire, St Eustatius, Saba","Electricity - total solar production","2020","Kilowatt-hours, million","7.6",""
"Bosnia and Herzegovina","Electricity - total solar production","2020","Kilowatt-hours, million","45",""
"Botswana","Electricity - total solar production","2020","Kilowatt-hours, million","6.27",""
"Brazil","Electricity - total solar production","2020","Kilowatt-hours, million","10750",""
"British Virgin Islands","Electricity - total solar production","2020","Kilowatt-hours, million","0.4","1"
"Brunei Darussalam","Electricity - total solar production","2020","Kilowatt-hours, million","1.545",""
"Bulgaria","Electricity - total solar production","2020","Kilowatt-hours, million","1480.856",""
"Burkina Faso","Electricity - total solar production","2020","Kilowatt-hours, million","57.152",""
"Burundi","Electricity - total solar production","2020","Kilowatt-hours, million","7.93",""
"Cabo Verde","Electricity - total solar production","2020","Kilowatt-hours, million","6.53",""
"Cambodia","Electricity - total solar production","2020","Kilowatt-hours, million","305.732",""
"Cameroon","Electricity - total solar production","2020","Kilowatt-hours, million","19.672",""
"Canada","Electricity - total solar production","2020","Kilowatt-hours, million","4846",""
"Canada","Electricity - total solar production","2000","Kilowatt-hours, million","16",""
"Central African Rep.","Electricity - total solar production","2020","Kilowatt-hours, million","0.43","1"
"Chile","Electricity - total solar production","2020","Kilowatt-hours, million","7971.25",""
"China","Electricity - total solar production","2020","Kilowatt-hours, million","260857",""
"Colombia","Electricity - total solar production","2020","Kilowatt-hours, million","200.796",""
"Congo","Electricity - total solar production","2020","Kilowatt-hours, million","1",""
"Cook Islands","Electricity - total solar production","2020","Kilowatt-hours, million","15.363","1"
"Cook Islands","Electricity - total solar production","2000","Kilowatt-hours, million","0.061",""
"Costa Rica","Electricity - total solar production","2020","Kilowatt-hours, million","75.693",""
"Côte d'Ivoire","Electricity - total solar production","2020","Kilowatt-hours, million","11.1",""
"Croatia","Electricity - total solar production","2020","Kilowatt-hours, million","95.5",""
"Cuba","Electricity - total solar production","2020","Kilowatt-hours, million","192.992","1"
"Curaçao","Electricity - total solar production","2020","Kilowatt-hours, million","22.218",""
"Cyprus","Electricity - total solar production","2020","Kilowatt-hours, million","295.608",""
"Czechia","Electricity - total solar production","2020","Kilowatt-hours, million","2287.014",""
"Dem. Rep. of the Congo","Electricity - total solar production","2020","Kilowatt-hours, million","30.36",""
"Denmark","Electricity - total solar production","2020","Kilowatt-hours, million","1180.532",""
"Denmark","Electricity - total solar production","2000","Kilowatt-hours, million","1",""
"Djibouti","Electricity - total solar production","2020","Kilowatt-hours, million","0.6","1"
"Dominica","Electricity - total solar production","2020","Kilowatt-hours, million","0.2","1"
"Dominica","Electricity - total solar production","2000","Kilowatt-hours, million","0.124",""
"Dominican Republic","Electricity - total solar production","2020","Kilowatt-hours, million","433.912",""
"Ecuador","Electricity - total solar production","2020","Kilowatt-hours, million","37.76",""
"Egypt","Electricity - total solar production","2020","Kilowatt-hours, million","4430.2",""
"El Salvador","Electricity - total solar production","2020","Kilowatt-hours, million","904.1",""
"Eritrea","Electricity - total solar production","2020","Kilowatt-hours, million","12.638",""
"Eritrea","Electricity - total solar production","2000","Kilowatt-hours, million","1",""
"Estonia","Electricity - total solar production","2020","Kilowatt-hours, million","122.54",""
"Eswatini","Electricity - total solar production","2020","Kilowatt-hours, million","2.347","1"
"Ethiopia","Electricity - total solar production","2020","Kilowatt-hours, million","32.295",""
"Faeroe Islands","Electricity - total solar production","2020","Kilowatt-hours, million","1.6",""
"Falkland Is. (Malvinas)","Electricity - total solar production","2020","Kilowatt-hours, million","0.1","1"
"Fiji","Electricity - total solar production","2020","Kilowatt-hours, million","12.6","1"
"Finland","Electricity - total solar production","2020","Kilowatt-hours, million","218.471",""
"Finland","Electricity - total solar production","2000","Kilowatt-hours, million","2",""
"France","Electricity - total solar production","2020","Kilowatt-hours, million","13398.392",""
"France","Electricity - total solar production","2000","Kilowatt-hours, million","5",""
"French Polynesia","Electricity - total solar production","2020","Kilowatt-hours, million","41.6",""
"Gabon","Electricity - total solar production","2020","Kilowatt-hours, million","1.92",""
"Gambia","Electricity - total solar production","2020","Kilowatt-hours, million","3.572","1"
"Germany","Electricity - total solar production","2020","Kilowatt-hours, million","48641",""
"Germany","Electricity - total solar production","2000","Kilowatt-hours, million","60",""
"Ghana","Electricity - total solar production","2020","Kilowatt-hours, million","56.9",""
"Greece","Electricity - total solar production","2020","Kilowatt-hours, million","4446.854",""
"Grenada","Electricity - total solar production","2020","Kilowatt-hours, million","3.74",""
"Guam","Electricity - total solar production","2020","Kilowatt-hours, million","51.6",""
"Guatemala","Electricity - total solar production","2020","Kilowatt-hours, million","222.095",""
"Guernsey","Electricity - total solar production","2020","Kilowatt-hours, million","0.369",""
"Guinea-Bissau","Electricity - total solar production","2020","Kilowatt-hours, million","2","1"
"Guyana","Electricity - total solar production","2020","Kilowatt-hours, million","11.77",""
"Guyana","Electricity - total solar production","2000","Kilowatt-hours, million","0.02",""
"Haiti","Electricity - total solar production","2020","Kilowatt-hours, million","3.444",""
"Honduras","Electricity - total solar production","2020","Kilowatt-hours, million","1112.812",""
"Hungary","Electricity - total solar production","2020","Kilowatt-hours, million","2459",""
"India","Electricity - total solar production","2020","Kilowatt-hours, million","61291","1"
"Indonesia","Electricity - total solar production","2020","Kilowatt-hours, million","9.46",""
"Iran (Islamic Rep. of)","Electricity - total solar production","2020","Kilowatt-hours, million","509.656",""
"Iraq","Electricity - total solar production","2020","Kilowatt-hours, million","57.305",""
"Ireland","Electricity - total solar production","2020","Kilowatt-hours, million","63.78",""
"Israel","Electricity - total solar production","2020","Kilowatt-hours, million","4162.997",""
"Italy","Electricity - total solar production","2020","Kilowatt-hours, million","24941.504",""
"Italy","Electricity - total solar production","2000","Kilowatt-hours, million","18",""
"Italy","Electricity - total solar production","1990","Kilowatt-hours, million","4",""
"Jamaica","Electricity - total solar production","2020","Kilowatt-hours, million","36.4",""
"Japan","Electricity - total solar production","2020","Kilowatt-hours, million","79086.858",""
"Japan","Electricity - total solar production","2000","Kilowatt-hours, million","357",""
"Japan","Electricity - total solar production","1990","Kilowatt-hours, million","67",""
"Jordan","Electricity - total solar production","2020","Kilowatt-hours, million","2852",""
"Kazakhstan","Electricity - total solar production","2020","Kilowatt-hours, million","1490.368",""
"Kenya","Electricity - total solar production","2020","Kilowatt-hours, million","88.4",""
"Kiribati","Electricity - total solar production","2020","Kilowatt-hours, million","5.1","1"
"Kiribati","Electricity - total solar production","2000","Kilowatt-hours, million","0.138889",""
"Korea, Dem.Ppl's.Rep.","Electricity - total solar production","2020","Kilowatt-hours, million","16.185",""
"Korea, Republic of","Electricity - total solar production","2020","Kilowatt-hours, million","17967.196",""
"Korea, Republic of","Electricity - total solar production","2000","Kilowatt-hours, million","5",""
"Korea, Republic of","Electricity - total solar production","1990","Kilowatt-hours, million","1",""
"Kosovo","Electricity - total solar production","2020","Kilowatt-hours, million","10.46",""
"Kuwait","Electricity - total solar production","2020","Kilowatt-hours, million","180.06",""
"Lao People's Dem. Rep.","Electricity - total solar production","2020","Kilowatt-hours, million","41","1"
"Latvia","Electricity - total solar production","2020","Kilowatt-hours, million","4.847",""
"Lebanon","Electricity - total solar production","2020","Kilowatt-hours, million","120","1"
"Liberia","Electricity - total solar production","2020","Kilowatt-hours, million","4","1"
"Libya","Electricity - total solar production","2020","Kilowatt-hours, million","7.791",""
"Liechtenstein","Electricity - total solar production","2020","Kilowatt-hours, million","29.7",""
"Liechtenstein","Electricity - total solar production","2000","Kilowatt-hours, million","0.066",""
"Lithuania","Electricity - total solar production","2020","Kilowatt-hours, million","128.8",""
"Luxembourg","Electricity - total solar production","2020","Kilowatt-hours, million","161.261",""
"Madagascar","Electricity - total solar production","2020","Kilowatt-hours, million","32",""
"Malawi","Electricity - total solar production","2020","Kilowatt-hours, million","167.6",""
"Malaysia","Electricity - total solar production","2020","Kilowatt-hours, million","2429.604",""
"Maldives","Electricity - total solar production","2020","Kilowatt-hours, million","21","1"
"Mali","Electricity - total solar production","2020","Kilowatt-hours, million","92.727",""
"Mali","Electricity - total solar production","2000","Kilowatt-hours, million","0.141",""
"Malta","Electricity - total solar production","2020","Kilowatt-hours, million","236.837",""
"Marshall Islands","Electricity - total solar production","2020","Kilowatt-hours, million","2",""
"Martinique","Electricity - total solar production","2000","Kilowatt-hours, million","1.9","1"
"Mauritania","Electricity - total solar production","2020","Kilowatt-hours, million","140.01",""
"Mauritius","Electricity - total solar production","2020","Kilowatt-hours, million","145.58",""
"Mexico","Electricity - total solar production","2020","Kilowatt-hours, million","9115",""
"Mexico","Electricity - total solar production","2000","Kilowatt-hours, million","7",""
"Mexico","Electricity - total solar production","1990","Kilowatt-hours, million","1",""
"Micronesia (Fed. States of)","Electricity - total solar production","2020","Kilowatt-hours, million","2.98","1"
"Micronesia (Fed. States of)","Electricity - total solar production","2000","Kilowatt-hours, million","0.1",""
"Mongolia","Electricity - total solar production","2020","Kilowatt-hours, million","59",""
"Montenegro","Electricity - total solar production","2020","Kilowatt-hours, million","2.3",""
"Montserrat","Electricity - total solar production","2020","Kilowatt-hours, million","0.46",""
"Morocco","Electricity - total solar production","2020","Kilowatt-hours, million","1519.834",""
"Mozambique","Electricity - total solar production","2020","Kilowatt-hours, million","70.143",""
"Myanmar","Electricity - total solar production","2020","Kilowatt-hours, million","79.05",""
"Namibia","Electricity - total solar production","2020","Kilowatt-hours, million","369.156",""
"Nauru","Electricity - total solar production","2020","Kilowatt-hours, million","2.359",""
"Nepal","Electricity - total solar production","2020","Kilowatt-hours, million","0.87",""
"Netherlands","Electricity - total solar production","2020","Kilowatt-hours, million","8765.172",""
"Netherlands","Electricity - total solar production","2000","Kilowatt-hours, million","8",""
"New Caledonia","Electricity - total solar production","2020","Kilowatt-hours, million","150.5",""
"New Zealand","Electricity - total solar production","2020","Kilowatt-hours, million","160.216",""
"Nicaragua","Electricity - total solar production","2020","Kilowatt-hours, million","25.952",""
"Niger","Electricity - total solar production","2020","Kilowatt-hours, million","46","1"
"Niger","Electricity - total solar production","2000","Kilowatt-hours, million","0.8",""
"Nigeria","Electricity - total solar production","2020","Kilowatt-hours, million","41.988",""
"Niue","Electricity - total solar production","2020","Kilowatt-hours, million","0.48","1"
"North Macedonia","Electricity - total solar production","2020","Kilowatt-hours, million","23.536",""
"Northern Mariana Islands","Electricity - total solar production","2020","Kilowatt-hours, million","3","1"
"Norway","Electricity - total solar production","2020","Kilowatt-hours, million","26.521",""
"Oman","Electricity - total solar production","2020","Kilowatt-hours, million","127.548",""
"Other Asia","Electricity - total solar production","2020","Kilowatt-hours, million","6095.329",""
"Pakistan","Electricity - total solar production","2020","Kilowatt-hours, million","794.59",""
"Palau","Electricity - total solar production","2020","Kilowatt-hours, million","6","1"
"Panama","Electricity - total solar production","2020","Kilowatt-hours, million","318.1",""
"Papua New Guinea","Electricity - total solar production","2020","Kilowatt-hours, million","2",""
"Peru","Electricity - total solar production","2020","Kilowatt-hours, million","855.559",""
"Philippines","Electricity - total solar production","2020","Kilowatt-hours, million","1372.6",""
"Poland","Electricity - total solar production","2020","Kilowatt-hours, million","1957.916",""
"Portugal","Electricity - total solar production","2020","Kilowatt-hours, million","1715.59",""
"Portugal","Electricity - total solar production","2000","Kilowatt-hours, million","1",""
"Portugal","Electricity - total solar production","1990","Kilowatt-hours, million","1",""
"Puerto Rico","Electricity - total solar production","2020","Kilowatt-hours, million","259.4",""
"Republic of Moldova","Electricity - total solar production","2020","Kilowatt-hours, million","4",""
"Romania","Electricity - total solar production","2020","Kilowatt-hours, million","1733.375",""
"Russian Federation","Electricity - total solar production","2020","Kilowatt-hours, million","2022.4",""
"Rwanda","Electricity - total solar production","2020","Kilowatt-hours, million","18.1",""
"Samoa","Electricity - total solar production","2020","Kilowatt-hours, million","23.87",""
"Sao Tome and Principe","Electricity - total solar production","2020","Kilowatt-hours, million","0.4","1"
"Saudi Arabia","Electricity - total solar production","2020","Kilowatt-hours, million","830","1"
"Saudi Arabia","Electricity - total solar production","2000","Kilowatt-hours, million","0.609",""
"Senegal","Electricity - total solar production","2020","Kilowatt-hours, million","384.95","1"
"Senegal","Electricity - total solar production","2000","Kilowatt-hours, million","2",""
"Serbia","Electricity - total solar production","2020","Kilowatt-hours, million","13.261",""
"Seychelles","Electricity - total solar production","2020","Kilowatt-hours, million","5.7",""
"Sierra Leone","Electricity - total solar production","2020","Kilowatt-hours, million","6","1"
"Singapore","Electricity - total solar production","2020","Kilowatt-hours, million","622",""
"Slovakia","Electricity - total solar production","2020","Kilowatt-hours, million","663",""
"Slovenia","Electricity - total solar production","2020","Kilowatt-hours, million","368.196",""
"Solomon Islands","Electricity - total solar production","2020","Kilowatt-hours, million","3.46","1"
"Somalia","Electricity - total solar production","2020","Kilowatt-hours, million","24.2",""
"South Africa","Electricity - total solar production","2020","Kilowatt-hours, million","5031",""
"South Sudan","Electricity - total solar production","2020","Kilowatt-hours, million","11.044",""
"Spain","Electricity - total solar production","2020","Kilowatt-hours, million","20667",""
"Spain","Electricity - total solar production","2000","Kilowatt-hours, million","14",""
"Spain","Electricity - total solar production","1990","Kilowatt-hours, million","9",""
"Sri Lanka","Electricity - total solar production","2020","Kilowatt-hours, million","220.577",""
"St. Helena and Depend.","Electricity - total solar production","2020","Kilowatt-hours, million","0.987",""
"St. Kitts-Nevis","Electricity - total solar production","2020","Kilowatt-hours, million","3.06",""
"St. Lucia","Electricity - total solar production","2020","Kilowatt-hours, million","6.58",""
"St. Vincent-Grenadines","Electricity - total solar production","2020","Kilowatt-hours, million","2.91",""
"State of Palestine","Electricity - total solar production","2020","Kilowatt-hours, million","178",""
"Sudan","Electricity - total solar production","2020","Kilowatt-hours, million","21","1"
"Suriname","Electricity - total solar production","2020","Kilowatt-hours, million","10","1"
"Sweden","Electricity - total solar production","2020","Kilowatt-hours, million","1051",""
"Sweden","Electricity - total solar production","2000","Kilowatt-hours, million","1",""
"Switzerland","Electricity - total solar production","2020","Kilowatt-hours, million","2598.659",""
"Switzerland","Electricity - total solar production","2000","Kilowatt-hours, million","11",""
"Switzerland","Electricity - total solar production","1990","Kilowatt-hours, million","1",""
"Thailand","Electricity - total solar production","2020","Kilowatt-hours, million","4636.09",""
"Timor-Leste","Electricity - total solar production","2020","Kilowatt-hours, million","1",""
"Togo","Electricity - total solar production","2020","Kilowatt-hours, million","7.662",""
"Tonga","Electricity - total solar production","2020","Kilowatt-hours, million","6.743",""
"Trinidad and Tobago","Electricity - total solar production","2020","Kilowatt-hours, million","4.671",""
"Tunisia","Electricity - total solar production","2020","Kilowatt-hours, million","333.199",""
"Türkiye","Electricity - total solar production","2020","Kilowatt-hours, million","10950.18",""
"Turks and Caicos Islands","Electricity - total solar production","2020","Kilowatt-hours, million","1.466","1"
"Tuvalu","Electricity - total solar production","2020","Kilowatt-hours, million","1.984","1"
"Tuvalu","Electricity - total solar production","2000","Kilowatt-hours, million","0.008",""
"Uganda","Electricity - total solar production","2020","Kilowatt-hours, million","117.6",""
"Ukraine","Electricity - total solar production","2020","Kilowatt-hours, million","5969.4",""
"United Arab Emirates","Electricity - total solar production","2020","Kilowatt-hours, million","5475.3",""
"United Kingdom","Electricity - total solar production","2020","Kilowatt-hours, million","13157.994",""
"United Kingdom","Electricity - total solar production","2000","Kilowatt-hours, million","1",""
"United Rep. of Tanzania","Electricity - total solar production","2020","Kilowatt-hours, million","51.448",""
"United States","Electricity - total solar production","2020","Kilowatt-hours, million","119328.543",""
"United States","Electricity - total solar production","2000","Kilowatt-hours, million","709",""
"United States","Electricity - total solar production","1990","Kilowatt-hours, million","666",""
"United States Virgin Is.","Electricity - total solar production","2020","Kilowatt-hours, million","25.1","1"
"Uruguay","Electricity - total solar production","2020","Kilowatt-hours, million","462",""
"Uzbekistan","Electricity - total solar production","2020","Kilowatt-hours, million","0.3",""
"Vanuatu","Electricity - total solar production","2020","Kilowatt-hours, million","7.13","1"
"Venezuela (Bolivar. Rep.)","Electricity - total solar production","2020","Kilowatt-hours, million","8.63",""
"Viet Nam","Electricity - total solar production","2020","Kilowatt-hours, million","9434",""
"Wallis and Futuna Is.","Electricity - total solar production","2020","Kilowatt-hours, million","0.16","1"
"Yemen","Electricity - total solar production","2020","Kilowatt-hours, million","489.8",""
"Zambia","Electricity - total solar production","2020","Kilowatt-hours, million","150.156",""
"Zimbabwe","Electricity - total solar production","2020","Kilowatt-hours, million","24.4",""

"fnSeqID","Footnote"
"1","Estimate"
